DateTime,name,value
2019-01-01T00:00:00.0,gen-735,1.0
2019-01-01T01:00:00.0,gen-735,-0.0
2019-01-01T00:00:00.0,gen-411,1.0
2019-01-01T01:00:00.0,gen-411,-0.0
2019-01-01T00:00:00.0,gen-153,1.0
2019-01-01T01:00:00.0,gen-153,-0.0
2019-01-01T00:00:00.0,gen-890,1.0
2019-01-01T01:00:00.0,gen-890,-0.0
2019-01-01T00:00:00.0,gen-1229,1.0
2019-01-01T01:00:00.0,gen-1229,-0.0
2019-01-01T00:00:00.0,gen-469,1.0
2019-01-01T01:00:00.0,gen-469,-0.0
2019-01-01T00:00:00.0,gen-1300,1.0
2019-01-01T01:00:00.0,gen-1300,-0.0
2019-01-01T00:00:00.0,gen-1059,1.0
2019-01-01T01:00:00.0,gen-1059,-0.0
2019-01-01T00:00:00.0,gen-2057,1.0
2019-01-01T01:00:00.0,gen-2057,-0.0
2019-01-01T00:00:00.0,gen-1164,1.0
2019-01-01T01:00:00.0,gen-1164,-0.0
2019-01-01T00:00:00.0,gen-344,1.0
2019-01-01T01:00:00.0,gen-344,-0.0
2019-01-01T00:00:00.0,gen-1454,1.0
2019-01-01T01:00:00.0,gen-1454,-0.0
2019-01-01T00:00:00.0,gen-1636,1.0
2019-01-01T01:00:00.0,gen-1636,-0.0
2019-01-01T00:00:00.0,gen-237,1.0
2019-01-01T01:00:00.0,gen-237,-0.0
2019-01-01T00:00:00.0,gen-43,0.0
2019-01-01T01:00:00.0,gen-43,-0.0
2019-01-01T00:00:00.0,gen-241,1.0
2019-01-01T01:00:00.0,gen-241,-0.0
2019-01-01T00:00:00.0,gen-471,1.0
2019-01-01T01:00:00.0,gen-471,-0.0
2019-01-01T00:00:00.0,gen-622,1.0
2019-01-01T01:00:00.0,gen-622,-0.0
2019-01-01T00:00:00.0,gen-603,1.0
2019-01-01T01:00:00.0,gen-603,-0.0
2019-01-01T00:00:00.0,gen-590,1.0
2019-01-01T01:00:00.0,gen-590,-0.0
2019-01-01T00:00:00.0,gen-945,1.0
2019-01-01T01:00:00.0,gen-945,-0.0
2019-01-01T00:00:00.0,gen-58,1.0
2019-01-01T01:00:00.0,gen-58,-0.0
2019-01-01T00:00:00.0,gen-566,1.0
2019-01-01T01:00:00.0,gen-566,-0.0
2019-01-01T00:00:00.0,gen-835,1.0
2019-01-01T01:00:00.0,gen-835,-0.0
2019-01-01T00:00:00.0,gen-1244,1.0
